key,score,en,fr,es,de,ko,ru,tl,it,nl,sw,ja,ca,ro,pl,sl,zh-cn,pt,id,no,af,vi
choropleth,5.0,choropleth,choroplethe,coropleta,choropleth,등치,хороплет,choropleth,coropleto,choroplet,choropleth,コロプレス,coropletes,coroplet,choroplet,choropleth,等值线图,coroplético,choropleth,choropleth,choropleth,hợp xướng
cartogram,5.0,cartogram,cartogramme,cartograma,kartogramm,지도 작성,картограмма,cartogram,cartogramma,cartogram,katugramu,カートグラム,cartograma,cartogramă,kartogram,kartogram,地图,cartogram,kartogram,kartogram,kartogram,bản đồ
proportional_symbol,5.0,proportional symbol,symbole proportionnel,símbolo proporcional,proportionalsymbol,비례 기호,пропорциональный символ,proporsyonal na simbolo,simbolo proporzionale,proportioneel symbool,ishara sawia,比例記号,símbol proporcional,simbol proporțional,symbol proporcjonalny,proporcionalni simbol,比例符号,símbolo proporcional,simbol proporsional,proporsjonalt symbol,proporsionele simbool,ký hiệu tỷ lệ
graduated_symbol,5.0,graduated symbol,symbole gradué,símbolo graduado,abgestuftes symbol,졸업 기호,градуированный символ,nagtapos na simbolo,simbolo graduato,afgestudeerd symbool,ishara iliyohitimu,段階的シンボル,símbol graduat,simbol gradat,stopniowany symbol,graduiran simbol,分级符号,símbolo graduado,simbol lulus,uteksaminert symbol,gegradueerde simbool,biểu tượng chia độ
graduated_circles,5.0,graduated circles,cercles gradués,círculos graduados,abgestufte kreise,졸업 서클,градуированные круги,nagtapos na mga bilog,cerchi graduati,gegradueerde cirkels,duru zilizohitimu,卒業サークル,cercles graduats,cercuri gradate,stopniowane kręgi,diplomirani krogi,刻度圈,círculos graduados,lingkaran bertingkat,uteksaminerte kretser,gegradueerde kringe,vòng tròn chia độ
statistical_map,5.0,statistical map,carte statistique,mapa estadístico,statistische karte,통계 지도,статистическая карта,istatistikal na mapa,mappa statistica,statistische kaart,ramani ya takwimu,統計地図,mapa estadístic,harta statistica,mapa statystyczna,statistični zemljevid,统计图,mapa estatístico,peta statistik,statistisk kart,statistiese kaart,bản đồ thống kê
per_capita,4.0,per capita,par habitant,per cápita,pro kopf,1인당,на душу населения,per capita,per capita,per hoofd,kwa kila mtu,一人当たり,per càpita,pe cap de locuitor,pogłównie,na prebivalca,人均,per capita,per kapita,per innbygger,per capita,bình quân đầu người
share_of,4.0,share of,part de,porcentaje de,anteil an,의 몫,доля,bahagi ng,quota di,aandeel van,sehemu ya,のシェア,quota de,cota de,udział,delež od,的份额,participação de,bagian dari,andel av,deel van,chia sẻ của
proportion_of,4.0,proportion of,proportion de,proporción de,anteil von,비율,доля,proporsyon ng,proporzione di,aandeel van,uwiano wa,の割合,proporció de,proportie de,część,delež,的比例,proporção de,proporsi,andel av,proporsie van,tỷ lệ của
distribution_of,4.0,distribution of,distribution de,distribución de,verteilung von,분포,распространение,pamamahagi ng,distribuzione di,distributie van,usambazaji wa,の配布,distribució de,distribuirea de,dystrybucja,distribucija,的分布,distribuição de,distribusi,distribusjon av,verspreiding van,phân phối của
breakdown_by,4.0,breakdown by,répartition par,desglose por,aufschlüsselung nach,분류,разбивка по,pagkasira ng,ripartizione per,uitsplitsing door,kuvunjika kwa,内訳,desglossament per,defalcare de,podział według,razčlenitev po,细分为,divisão por,rincian oleh,oppdeling etter,verdeling deur,phân tích theo
by_country,4.0,by country,par pays,por país,nach ländern,국가별,по стране,ayon sa bansa,per paese,per land,kwa nchi,国別,per país,dupa tara,według kraju,po državi,按国家/地区,por país,menurut negara,etter land,volgens land,theo quốc gia
by_age,4.0,by age,par âge,por edad,nach alter,연령별,по возрасту,ayon sa edad,per età,op leeftijd,kwa umri,年齢別,per edat,după vârstă,według wieku,po starosti,按年龄,por idade,berdasarkan usia,etter alder,volgens ouderdom,theo độ tuổi
by_region,4.0,by region,par région,por región,nach region,지역별,по регионам,ayon sa rehiyon,per regione,per regio,kwa mkoa,地域別,per regió,pe regiune,według regionu,po regijah,按地区,por região,berdasarkan wilayah,etter region,volgens streek,theo khu vực
by_province,4.0,by province,par province,por provincia,nach provinz,지방별,по провинциям,ayon sa lalawigan,per provincia,per provincie,kwa mkoa,県別,per província,pe provincie,według prowincji,po pokrajinah,按省份,por província,menurut provinsi,etter provins,volgens provinsie,theo tỉnh
by_district,4.0,by district,par district,por distrito,nach bezirk,지구별,по районам,ayon sa distrito,per distretto,per wijk,kwa wilaya,地区別,per districte,pe raion,według dzielnicy,po okrožju,按地区,por distrito,menurut distrik,etter distrikt,volgens distrik,theo quận
by_municipality,4.0,by municipality,par municipalité,por municipio,nach gemeinde,지방자치단체별,по муниципалитету,sa pamamagitan ng munisipyo,per comune,per gemeente,na manispaa,市区町村別,per municipi,pe municipalitate,przez gminę,po občini,按市政府,por município,oleh kotamadya,etter kommune,deur munisipaliteit,theo đô thị
by_county,4.0,by county,par département,por condado,nach landkreis,카운티별,по округам,ayon sa county,per contea,per provincie,kwa kata,郡別,per comtat,pe judet,według hrabstwa,po okrožju,按县,por condado,menurut kabupaten,etter fylke,volgens provinsie,theo quận
by_state,4.0,by state,par État,por estado,nach bundesstaat,주별,по штату,ayon sa estado,per stato,per staat,kwa jimbo,州別,per estat,de stat,według stanu,po državi,按州,por estado,menurut negara bagian,etter stat,per staat,theo tiểu bang
per_1000,4.0,per 1000,pour 1000,por cada 1000,pro 1000,1000당,за 1000,bawat 1000,per 1000,per 1000,kwa 1000,1000あたり,per 1000,la 1000,na 1000,na 1000,每 1000,por 1000,per 1000,per 1000,per 1000,trên 1000
per_100k,4.0,per 100k,pour 100 000,por cada 100 000,pro 100.000,10만당,за 100 тыс.,bawat 100k,ogni 100k,per 100k,kwa 100k,100kあたり,per 100k,la 100k,na 100 tys,na 100k,每 10 万,por 100 mil,per 100k,per 100k,per 100k,mỗi 100k
life_expectancy,4.0,life expectancy,espérance de vie,esperanza de vida,lebenserwartung,기대 수명,продолжительность жизни,pag-asa sa buhay,aspettativa di vita,levensverwachting,umri wa kuishi,平均余命,esperança de vida,speranța de viață,długość życia,pričakovana življenjska doba,预期寿命,expectativa de vida,harapan hidup,forventet levealder,lewensverwagting,tuổi thọ
growth_rate,4.0,growth rate,taux de croissance,tasa de crecimiento,wachstumsrate,성장률,темп роста,rate ng paglago,tasso di crescita,groeisnelheid,kiwango cha ukuaji,成長率,taxa de creixement,rata de crestere,tempo wzrostu,stopnja rasti,增长率,taxa de crescimento,tingkat pertumbuhan,vekstrate,groeikoers,tốc độ tăng trưởng
demographic,3.0,demographic,démographique,demográfico,demografisch,인구통계학적,демографический,demograpiko,demografico,demografisch,idadi ya watu,人口統計,demogràfics,demografic,demograficzny,demografski,人口统计,demográfico,demografis,demografisk,demografiese,nhân khẩu học
demographical,3.0,demographical,démographique,demográfico,demografisch,인구통계학적,демографический,demograpiko,demografico,demografisch,ya idadi ya watu,人口統計上の,demogràfics,demografic,demograficzne,demografski,人口统计的,demográfico,demografis,demografisk,demografiese,nhân khẩu học
statistical,3.0,statistical,statistique,estadístico,statistisch,통계적,статистический,istatistika,statistico,statistisch,takwimu,統計的,estadístic,statistic,statystyczny,statistični,统计,estatística,statistik,statistisk,statisties,thống kê
quantitative,3.0,quantitative,quantitatif,cuantitativo,quantitativ,양적,количественный,dami,quantitativo,kwantitatief,kiasi,定量的,quantitativa,cantitativ,ilościowy,kvantitativno,定量的,quantitativo,kuantitatif,kvantitativ,kwantitatief,định lượng
census,3.0,census,recensement,censo,volkszählung,인구 조사,перепись,census,censimento,volkstelling,sensa,国勢調査,cens,recensământ,spis ludności,popis prebivalstva,人口普查,censo,sensus,telling,sensus,điều tra dân số
prevalence,3.0,prevalence,prévalence,prevalencia,prävalenz,널리 퍼짐,распространенность,pagkalat,prevalenza,prevalentie,kuenea,普及率,prevalença,prevalență,rozpowszechnienie,razširjenost,患病率,prevalência,prevalensi,utbredelse,voorkoms,sự phổ biến
disparity,3.0,disparity,disparité,disparidad,ungleichheit,상이,неравенство,pagkakaiba-iba,disparità,ongelijkheid,kutofautiana,格差,disparitat,disparitate,różnica,nesorazmerje,差距,disparidade,perbedaan,ulikhet,ongelykheid,sự chênh lệch
inequality,3.0,inequality,inégalité,desigualdad,ungleichheit,불평등,неравенство,hindi pagkakapantay-pantay,disuguaglianza,ongelijkheid,ukosefu wa usawa,不平等,desigualtat,inegalitate,nierówność,neenakost,不等式,desigualdade,ketidaksamaan,ulikhet,ongelykheid,bất bình đẳng
standardised,3.0,standardised,normalisé,estandarizado,standardisiert,표준화된,стандартизированный,standardized,standardizzato,gestandaardiseerd,sanifu,標準化された,estandarditzat,standardizate,standaryzowane,standardizirana,标准化,padronizado,terstandarisasi,standardisert,gestandaardiseer,tiêu chuẩn hóa
classification,3.0,classification,classification,clasificación,einstufung,분류,классификация,pag-uuri,classificazione,classificatie,uainishaji,分類,classificació,clasificare,klasyfikacja,razvrstitev,分类,classificação,klasifikasi,klassifikasjon,klassifikasie,phân loại
gdp,3.0,GDP,PIB,PIB,bip,gdp,ввп,gdp,pil,bbp,pato la taifa,gdp,pib,pib,pkb,bdp,国内生产总值,pib,pdb,bnp,bbp,gdp
population,2.0,population,population,población,bevölkerung,인구,население,populasyon,popolazione,bevolking,idadi ya watu,人口,població,populatia,populacja,prebivalstvo,人口,população,populasi,befolkning,bevolking,dân số
density,2.0,density,densité,densidad,dichte,밀도,плотность,density,densità,dikte,msongamano,密度,densitat,densitate,gęstość,gostota,密度,densidade,kepadatan,tetthet,digtheid,tỉ trọng
mortality,2.0,mortality,mortalité,mortalidad,mortalität,인류,смертность,mortalidad,mortalità,sterfte,vifo,死亡,mortalitat,mortalitatea,śmiertelność,umrljivost,死亡,mortalidade,kematian,dødelighet,sterflikheid,tỷ lệ tử vong
fertility,2.0,fertility,fertilité,fertilidad,fruchtbarkeit,비옥,рождаемость,pagkamayabong,fertilità,vruchtbaarheid,uzazi,生殖能力,fertilitat,fertilitate,płodność,plodnost,生育能力,fertilidade,kesuburan,fruktbarhet,vrugbaarheid,khả năng sinh sản
migration,2.0,migration,migration,migración,migration,이주,миграция,migrasyon,migrazione,migratie,uhamiaji,移行,migració,migrație,emigracja,migracije,迁移,migração,migrasi,migrasjon,migrasie,di cư
unemployment,2.0,unemployment,chômage,desempleo,arbeitslosigkeit,실업,безработица,kawalan ng trabaho,disoccupazione,werkloosheid,ukosefu wa ajira,失業,atur,şomaj,bezrobocie,brezposelnost,失业,desemprego,pengangguran,arbeidsledighet,werkloosheid,nạn thất nghiệp
poverty,2.0,poverty,pauvreté,pobreza,armut,빈곤,бедность,kahirapan,povertà,armoede,umaskini,貧困,pobresa,sărăcie,ubóstwo,revščina,贫困,pobreza,kemiskinan,fattigdom,armoede,nghèo
wealth,2.0,wealth,richesse,riqueza,reichtum,재산,богатство,kayamanan,ricchezza,rijkdom,utajiri,富,riquesa,avere,bogactwo,bogastvo,财富,fortuna,kekayaan,rikdom,rykdom,sự giàu có
literacy,2.0,literacy,alphabétisation,alfabetización,alphabetisierung,읽고 쓰는 능력,грамотность,karunungang bumasa't sumulat,alfabetizzazione,geletterdheid,kujua kusoma na kuandika,識字,l'alfabetització,alfabetizare,umiejętność czytania i pisania,pismenost,识字能力,alfabetização,literasi,leseferdighet,geletterdheid,biết chữ
urbanisation,2.0,urbanisation,urbanisation,urbanización,urbanisierung,도시화,урбанизация,urbanisasyon,urbanizzazione,verstedelijking,ukuaji wa miji,都市化,urbanització,urbanizare,urbanizacja,urbanizacija,城市化,urbanização,urbanisasi,urbanisering,verstedeliking,đô thị hóa
employment,2.0,employment,emploi,empleo,anstellung,고용,работа,trabaho,occupazione,werkgelegenheid,ajira,雇用,ocupació,angajare,zatrudnienie,zaposlitev,就业,emprego,pekerjaan,arbeid,indiensneming,thuê người làm
labor_force,2.0,labor force,population active,población activa,arbeitskräfte,노동력,рабочая сила,lakas paggawa,forza lavoro,beroepsbevolking,nguvu kazi,労働力,força de treball,forta de munca,siła robocza,delovna sila,劳动力,força de trabalho,angkatan kerja,arbeidsstyrken,arbeidsmag,lực lượng lao động
labor,2.0,labor,travail,mano de obra,arbeit,노동,труд,paggawa,lavoro,werk,kazi,労働,laboral,muncă,praca,delo,劳动,trabalho,tenaga kerja,arbeid,arbeid,nhân công
productivity,2.0,productivity,productivité,productividad,produktivität,생산력,производительность,pagiging produktibo,produttività,productiviteit,tija,生産性,productivitat,productivitate,wydajność,produktivnost,生产率,produtividade,produktivitas,produktivitet,produktiwiteit,năng suất
median,2.0,median,médiane,mediana,mittlere,중앙값,медиана,panggitna,mediano,mediaan,wastani,中央値,mitjana,median,mediana,mediana,中位数,mediana,median,median,mediaan,ở giữa
mean,2.0,mean,méchant,significar,bedeuten,평균,иметь в виду,ibig sabihin,significare,gemeen,maana,平均,vol dir,medie,mieć na myśli,pomeniti,意思是,significar,berarti,bety,beteken,nghĩa là
quintile,2.0,quintile,quintile,quintil,quintil,5분위수,квинтиль,quintile,quintile,kwintiel,quintile,五分位数,quintil,chintilă,kwintyl,kvintil,五分位数,quintil,kuintil,kvintil,kwintiel,ngũ vị phân
quartile,2.0,quartile,quartile,cuartil,quartil,사분위수,квартиль,kuwartil,quartile,kwartiel,quartile,四分位,quartil,quartila,kwartyl,kvartil,四分位数,quartil,kuartil,kvartil,kwartiel,tứ phân vị
percentile,2.0,percentile,centile,percentil,perzentil,백분위수,процентиль,percentile,percentile,percentiel,percentile,パーセンタイル,percentil,percentilă,percentyl,percentil,百分位数,percentil,persentil,persentil,persentiel,phần trăm
coefficient,2.0,coefficient,coefficient,coeficiente,koeffizient,계수,коэффициент,koepisyent,coefficiente,coëfficiënt,mgawo,係数,coeficient,coeficient,współczynnik,koeficient,系数,coeficiente,koefisien,koeffisient,koëffisiënt,hệ số
correlation,2.0,correlation,corrélation,correlación,korrelation,상관관계,корреляция,ugnayan,correlazione,correlatie,uwiano,相関,correlació,corelaţie,korelacja,korelacija,相关性,correlação,korelasi,korrelasjon,korrelasie,sự tương quan
deviation,2.0,deviation,écart,desviación,abweichung,편차,отклонение,paglihis,deviazione,afwijking,kupotoka,偏差,desviació,abatere,odchylenie,odstopanje,偏差,desvio,deviasi,avvik,afwyking,sự lệch lạc
ratio,2.0,ratio,ratio,relación,verhältnis,비율,соотношение,ratio,rapporto,verhouding,uwiano,比率,proporció,raport,stosunek,razmerje,比率,razão,perbandingan,forhold,verhouding,tỷ lệ
indicator,2.0,indicator,indicateur,indicador,indikator,지시자,индикатор,tagapagpahiwatig,indicatore,indicator,kiashiria,インジケータ,indicador,indicator,wskaźnik,indikator,指标,indicador,indikator,indikator,aanwyser,chỉ báo
income,2.0,income,revenu,ingresos,einkommen,소득,доход,kita,reddito,inkomen,mapato,所得,ingressos,venituri,dochód,dohodek,收入,renda,penghasilan,inntekt,inkomste,thu nhập
salary,2.0,salary,salaire,salario,gehalt,샐러리,зарплата,suweldo,stipendio,salaris,mshahara,給料,salari,salariu,wynagrodzenie,plača,薪水,salário,gaji,lønn,salaris,lương
wage,2.0,wage,salaire,salario,lohn,값,заработная плата,sahod,salario,salaris,mshahara,賃金,salari,salariul,płaca,plača,工资,remuneração,gaji,lønn,loon,tiền công
wages,2.0,wages,salaires,salarios,löhne,임금,заработная плата,sahod,salari,loon,mshahara,賃金,salaris,salariile,wynagrodzenie,plače,工资,remunerações,upah,lønn,lone,tiền lương
earnings,2.0,earnings,revenus,ganancias,verdienst,수입,заработок,mga kita,guadagni,inkomsten,mapato,収入,guanys,castiguri,zyski,zaslužek,收益,ganhos,pendapatan,inntjening,verdienste,thu nhập
expenditure,2.0,expenditure,dépense,gasto,ausgaben,지출,расходы,paggasta,spesa,uitgaven,matumizi,支出,despesa,cheltuieli,wydatek,izdatki,支出,despesas,pengeluaran,utgifter,uitgawes,chi tiêu
revenue,2.0,revenue,revenu,ingresos,einnahmen,수익,доход,kita,reddito,winst,mapato,収益,ingressos,venituri,przychód,prihodek,收入,receita,pendapatan,inntekter,inkomste,doanh thu
budget,2.0,budget,budget,presupuesto,budget,예산,бюджет,badyet,bilancio,begroting,bajeti,予算,pressupost,buget,budżet,proračun,预算,orçamento,anggaran,budsjett,begroting,ngân sách
